File,Valid_Rays,Prior_NmF2,Prior_hmF2,Post_NmF2,Post_hmF2,Abel_NmF2,Abel_hmF2,Post_Abel_RMSE,Prior_TEC_RMSE,Prior_TEC_MAE,Post_TEC_RMSE,Post_TEC_MAE,RelTEC_TEC_RMSE,RelTEC_TEC_MAE,RelTEC_TEC_bias_TECU,RelTEC_NmF2,RelTEC_hmF2,Processing_Time_s,Status
podTc2_GN04.2025.151.23.31.0035.R09.00_0000.0001_nc,533,320430874991.823,345.592423519798,310005983041.271,345.611821010993,355898521437,328.784218239644,98867702865.7736,33.4135484816376,29.6787252880473,5.3867108238611,3.94321105264511,5.0002688930116,3.61709999814706,33.1285250067019,221461189989.698,314.468985665256,17.4341771602631,Success
podTc2_GN04.2025.151.23.33.0032.C23.01_0000.0001_nc,576,1041713558305.94,312.733949200882,1791239789601.03,310.177136145547,798793267132.391,304.925661179255,602874251879.757,50.4744743616804,37.8240511562968,8.56394571309838,5.82276936649559,8.16246446608558,5.15848991476883,8.15485960613599,1911091747188.27,309.563885576569,49.216588973999,Success
podTc2_GN04.2025.151.23.33.0033.E21.00_0000.0001_nc,425,373495633410.197,314.330253012227,411471730272.074,248.335746686035,283701905986.813,329.348446497641,135751956454.538,24.7483817798455,22.9822512524658,1.44930430325935,1.15541185733545,1.56348211154449,1.26597996056418,4.59590860887912,405614615988.203,248.280754268928,8.87912344932556,Success
podTc2_GN04.2025.151.23.34.0027.E26.00_0000.0001_nc,352,350369420912.507,324.37136425034,275158448222.326,264.076676403954,308831272711.031,254.939434878508,36996169720.7287,37.0470858523059,34.2312261045947,1.46167615265962,1.23285905450109,1.46142632253292,1.19488829049576,-6.74890539405028,284268843055.247,264.331239984252,13.2026851177216,Success
podTc2_GN04.2025.151.23.35.0033.E31.01_0000.0001_nc,637,1262367415321.06,354.477261463673,1883184250214.28,352.120522123749,1072552357750.35,301.202749352261,585947942031.869,55.5399587140267,44.9926856966509,4.48086565875574,2.89927064790423,4.32512592481351,2.70289476957929,-3.46725835423544,1777837603096.62,350.389494711584,66.653856754303,Success
podTc2_GN04.2025.151.23.37.0025.R02.01_0000.0001_nc,316,897511892757.323,311.676052908764,1455634461935.75,299.058468368717,560832899906.406,287.88791370201,518691771445.353,23.5789090498499,16.6955106145708,1.88436780455783,1.55452558415247,1.60238689079663,1.22155048538949,8.88151229258834,1438672157326,298.591915764052,9.1946337223053,Success
podTc2_GN04.2025.151.23.38.0025.R04.00_0000.0001_nc,489,418772264712.696,309.933590185541,466534383993.119,298.209473419398,424158934714,344.937690722112,99463579511.4476,16.8429882829086,16.0694176968262,3.58314139834455,2.68071180648476,3.61675987220196,2.80699849078518,-12.1441517843644,488428168517.861,299.765748560669,23.9197492599487,Success
podTc2_GN04.2025.151.23.39.0024.E03.01_0000.0001_nc,391,1029703362756.62,318.697863445149,1156829978254.26,321.148334189718,628467501492.102,310.940055479768,361372085221.429,10.3633858983089,5.77100785851374,5.47233517067407,2.85272337748336,5.44067621926513,2.81622394138501,2.53482028408117,1170007472121.11,320.760087226102,19.6879825592041,Success
podTc2_GN04.2025.151.23.40.0020.R17.01_0000.0001_nc,762,897511892757.323,311.676052908764,545828223898.729,362.159242955617,466840279426.469,162.782745491595,191253433680.71,25.2337408732715,20.0757847727399,3.91284314092405,2.96578956656153,2.95531514520465,2.40453842850027,18.9582958176636,518393327133.802,340.818375693236,130.098042726517,Success
podTc2_GN04.2025.151.23.40.0025.E15.01_0000.0001_nc,453,1573961134501.66,403.577072838527,1446333691400.75,418.566613658558,781269123516.359,326.778017215334,526568016529.425,9.96725555917369,8.80774545744556,2.1775390131904,1.68335791694481,2.29509775921079,1.79592214272953,0.0425369559541052,1451195450801.21,417.897690981839,27.9824774265289,Success
podTc2_GN04.2025.151.23.41.0023.G10.01_0000.0001_nc,327,1381298586118.28,375.470098310221,1650706503354.38,384.297149917629,789172132900.725,336.242185772803,634411070674.334,14.7777002112713,13.3147332968879,3.52005149461686,2.76608062951379,3.55660203735999,2.70488357774918,5.85400180290271,1709714729224,383.356973213582,11.359265089035,Success
podTc2_GN04.2025.151.23.42.0034.G07.00_0000.0001_nc,635,422146130294.501,299.498144399459,493794149455.117,238.867630198552,282261289419.25,279.873066514141,149827892092.155,23.3856634732539,20.3592575297038,3.50691897370789,1.91790610994709,3.3701029563751,1.80880541676593,18.9422784719063,463103035460.658,235.686999614574,33.2270584106445,Success
podTc2_GN04.2025.151.23.43.0025.C19.01_0000.0001_nc,394,1288610482825.32,360.569836034382,2274412860473.45,500,996235053011.063,353.1341913157,360325270929.982,21.67367798709,17.2151603818604,4.0640610548439,3.53918528883355,4.45319906098441,3.82608153792749,6.48905169697795,3418690356347.59,500,15.5724878311157,Success
podTc2_GN04.2025.151.23.43.0027.G03.00_0000.0001_nc,342,426306624924.781,310.449442943957,382018280470.805,251.744599463455,307790346936.553,269.286599899338,37888672082.6143,30.5765900797603,27.9056436131223,1.91874600539561,1.4138058538753,1.88869047952681,0.965002466660264,14.1838905710812,373352800305.547,251.921029343516,6.71482610702515,Success
